TradeDate;TickerSymbol;ExpirationDate;BDaysToExp;DaysToExp;OpenContracts;TradeCount;TradeVolume;FinancialVolume;DV01;SettlementPrice;MinLimitRate;MaxLimitRate;BestBidRate;BestAskRate;OpenRate;MinRate;AvgRate;MaxRate;CloseRate;SettlementRate;ForwardRate;dataset;ref_date
2025-09-24;DI1F26;2026-01-02;69;100;4563221;1268;118249;11383735863,26;2,2941507643632577;96268,87;0,14325;0,1546;0,149;0,14895;0,149;0,1489;0,14896;0,149;0,149;0,14898;0,14898;DI1_Futures;2025-09-24
2025-09-24;DI1F27;2027-01-04;318;467;5020303;9864;254150;21539670537,26;9,37996466986012;84747,91;0,13135;0,1513;0,1401;0,14;0,13985;0,13985;0,14008;0,14025;0,1401;0,14013;0,1376896748864851;DI1_Futures;2025-09-24
2025-09-24;DI1F28;2028-01-03;569;831;2957836;16484;244954;18486670830,38;15,041681397117975;75463,0;0,12315;0,1447;0,13275;0,1327;0,1325;0,13235;0,13274;0,133;0,1327;0,13279;0,12355853600223732;DI1_Futures;2025-09-24
2025-09-24;DI1F29;2029-01-02;817;1196;3381318;17571;168928;11309534723,3;19,176789657049344;66944,14;0,1219;0,14405;0,13175;0,1317;0,1314;0,13135;0,13174;0,13205;0,13175;0,13177;0,12943322769448828;DI1_Futures;2025-09-24
2025-09-24;DI1F30;2030-01-02;1066;1561;1060847;6408;37140;2192566052,27;22,042811796588072;59025,1;0,1227;0,14515;0,13275;0,1326;0,1328;0,13235;0,13268;0,13305;0,13275;0,13273;0,13588560240220482;DI1_Futures;2025-09-24
2025-09-24;DI1F31;2031-01-02;1318;1926;1687111;9837;107127;5559814240,19;23,946679386475086;51902,28;0,1235;0,14615;0,13355;0,1335;0,1334;0,13315;0,1336;0,13395;0,1335;0,13359;0,13723516532222257;DI1_Futures;2025-09-24
2025-09-24;DI1F32;2032-01-02;1570;2291;1242534;1927;78563;3581881566,9;25,03721629492315;45587,47;0,12435;0,14705;0,13435;0,1342;0,1343;0,13395;0,13436;0,13475;0,13425;0,13438;0,13852080400375844;DI1_Futures;2025-09-24
2025-09-24;DI1F33;2033-01-03;1822;2658;564220;5553;23925;960205140,91;25,59349621751582;40158,96;0,12455;0,1473;0,1345;0,13435;0,1345;0,1341;0,13458;0,1349;0,13435;0,13449;0,13517555774007173;DI1_Futures;2025-09-24
2025-09-24;DI1F34;2034-01-02;2073;3022;284871;112;333;11795647,91;25,69476069583702;35433,96;0,12445;0,1472;0,1345;0,1342;0,1345;0,134;0,13446;0,1348;0,13445;0,13442;0,1339120019622504;DI1_Futures;2025-09-24
2025-09-24;DI1F35;2035-01-02;2321;3387;709080;4267;30057;941422192,61;25,424384867461804;31313,15;0,12445;0,1473;0,1343;0,13425;0,1344;0,13395;0,13432;0,13485;0,13425;0,13436;0,13385859185381976;DI1_Futures;2025-09-24
2025-09-24;DI1F36;2036-01-02;2570;3752;46591;0;0;0,0;24,93586232496579;27727,86;0,1241;0,14695;0,13435;;;;;;;0,13403;0,13095859020707667;DI1_Futures;2025-09-24
2025-09-24;DI1F37;2037-01-02;2823;4118;42783;88;250;6129585,0;24,224586817994528;24515,91;0,12380000000000001;0,1467;0,13405;0,1325;0,1337;0,1337;0,1337;0,1337;0,1337;0,13371;0,130464520097346;DI1_Futures;2025-09-24
2025-09-24;DI1F38;2038-01-04;3072;4485;42530;0;0;0,0;23,447452293540973;21794,7;0,1232;0,14605;0,13385;;;;;;;0,13312;0,1264523990238291;DI1_Futures;2025-09-24
2025-09-24;DI1F39;2039-01-03;3323;4849;19869;0;0;0,0;22,509916550040902;19335,83;0,12279999999999999;0,14565;0,13355;;;;;;;0,13271;0,12770399468789395;DI1_Futures;2025-09-24
2025-09-24;DI1F40;2040-01-02;3574;5213;36831;0;0;0,0;21,444538498195453;17123,83;0,1226;0,14545;0,13345;;;;;;;0,1325;0,12972346769516396;DI1_Futures;2025-09-24
